排名,电影名称,年份,编剧,导演,主演,类型,类型4,国家2,片长2,评价人数,五星百分比,四星百分比,三星百分比,二星百分比,一星百分比,获奖情况1,获奖情况2,获奖情况3
No.1,肖申克的救赎 The Shawshank Redemption,-1994,编剧: 弗兰克·德拉邦特 / 斯蒂芬·金,导演: 弗兰克·德拉邦特,主演: 蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯更多...,导演: 弗兰克·德拉邦特        编剧: 弗兰克·德拉邦特 / 斯蒂芬·金        主演: 蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯更多...        类型: 剧情 / 犯罪                制片国家/地区: 美国        语言: 英语        上映日期: 1994-09-10(多伦多电影节) / 1994-10-14(美国)        片长: 142分钟        又名: 月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎        IMDb链接: tt0111161,类型: 剧情 / 犯罪 ,地区: 美国 ,片长: 142分钟 ,1276539,83.90%,14.30%,1.60%,0.10%,0.10%,第67届奥斯卡金像奖                        最佳影片(提名)            妮基·马文,第19届日本电影学院奖                        最佳外语片,第20届报知映画赏                        海外作品奖            弗兰克·德拉邦特
No.2,霸王别姬,-1993,编剧: 芦苇 / 李碧华,导演: 陈凯歌,主演: 张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐更多...,导演: 陈凯歌        编剧: 芦苇 / 李碧华        主演: 张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐更多...        类型: 剧情 / 爱情 / 同性                制片国家/地区: 中国大陆 / 香港        语言: 汉语普通话        上映日期: 1993-01-01(香港)        片长: 171 分钟        又名: 再见，我的妾 / Farewell My Concubine        IMDb链接: tt0106332,类型: 剧情 / 爱情 / 同性 ,地区: 中国大陆 / 香港 ,片长: 171 分钟 ,941994,81.10%,16.30%,2.30%,0.20%,0.10%,第66届奥斯卡金像奖                        最佳外语片(提名),第46届戛纳电影节                        主竞赛单元 金棕榈奖            陈凯歌,第47届英国电影学院奖                        电影奖 最佳非英语片            陈凯歌 / 徐枫
No.3,这个杀手不太冷 Léon,-1994,编剧: 吕克·贝松,导演: 吕克·贝松,主演: 让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根 / 卡尔·马图斯维奇 / 弗兰克·赛格 / 麦温 / 乔治·马丁 / 罗伯特·拉萨多 / 亚当·布斯奇 / 马里奥·托迪斯科 / 萨米·纳塞利更多...,导演: 吕克·贝松        编剧: 吕克·贝松        主演: 让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根 / 卡尔·马图斯维奇 / 弗兰克·赛格 / 麦温 / 乔治·马丁 / 罗伯特·拉萨多 / 亚当·布斯奇 / 马里奥·托迪斯科 / 萨米·纳塞利更多...        类型: 剧情 / 动作 / 犯罪                制片国家/地区: 法国        语言: 英语 / 意大利语 / 法语        上映日期: 1994-09-14(法国)        片长: 110分钟(剧场版) / 133分钟(国际版)        又名: 杀手莱昂 / 终极追杀令(台) / 杀手里昂 / Leon / Leon: The Professional        IMDb链接: tt0110413,类型: 剧情 / 动作 / 犯罪 ,地区: 法国 ,片长: 110分钟(剧场版) / 133分钟(国际版) ,1171551,74.00%,22.40%,3.30%,0.20%,0.10%,第19届日本电影学院奖                        最佳外语片(提名),,
No.4,阿甘正传 Forrest Gump,-1994,编剧: 艾瑞克·罗斯 / Winston Groom,导演: 罗伯特·泽米吉斯,主演: 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / Michael Conner Humphreys / 海利·乔·奥斯蒙更多...,导演: 罗伯特·泽米吉斯        编剧: 艾瑞克·罗斯 / Winston Groom        主演: 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / Michael Conner Humphreys / 海利·乔·奥斯蒙更多...        类型: 剧情 / 爱情                制片国家/地区: 美国        语言: 英语        上映日期: 1994-06-23(洛杉矶首映) / 1994-07-06(美国)        片长: 142 分钟        又名: 福雷斯特·冈普        IMDb链接: tt0109830,类型: 剧情 / 爱情 ,地区: 美国 ,片长: 142 分钟 ,1006202,75.30%,21.30%,3.10%,0.20%,0.10%,第67届奥斯卡金像奖                        最佳影片            史蒂夫·蒂彻 / 温迪·芬德曼 / 史蒂夫·斯达克,第48届英国电影学院奖                        电影奖 最佳影片(提名)            温迪·芬德曼 / 史蒂夫·斯达克 / 史蒂夫·蒂彻 / 罗伯特·泽米吉斯,第19届日本电影学院奖                        最佳外语片(提名)
No.5,美丽人生 La vita è bella,-1997,编剧: 温琴佐·切拉米 / 罗伯托·贝尼尼,导演: 罗伯托·贝尼尼,主演: 罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西 / 朱利亚娜·洛约迪切 / 亚美利哥·丰塔尼 / 彼得·德·席尔瓦 / 弗朗西斯·古佐 / 拉法埃拉·莱博罗尼 / 克劳迪奥·阿方西 / 吉尔·巴罗尼 / 马西莫·比安奇 / 恩尼奥·孔萨尔维 / 吉安卡尔洛·科森蒂诺 / 阿伦·克雷格更多...,导演: 罗伯托·贝尼尼        编剧: 温琴佐·切拉米 / 罗伯托·贝尼尼        主演: 罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西 / 朱利亚娜·洛约迪切 / 亚美利哥·丰塔尼 / 彼得·德·席尔瓦 / 弗朗西斯·古佐 / 拉法埃拉·莱博罗尼 / 克劳迪奥·阿方西 / 吉尔·巴罗尼 / 马西莫·比安奇 / 恩尼奥·孔萨尔维 / 吉安卡尔洛·科森蒂诺 / 阿伦·克雷格更多...        类型: 剧情 / 喜剧 / 爱情 / 战争                制片国家/地区: 意大利        语言: 意大利语 / 德语 / 英语        上映日期: 1997-12-20(意大利)        片长: 116分钟 / 125分钟(加长版)        又名: 一个快乐的传说(港) / Life Is Beautiful        IMDb链接: tt0118799,类型: 剧情 / 喜剧 / 爱情 / 战争 ,地区: 意大利 ,片长: 116分钟 / 125分钟(加长版) ,588626,79.10%,18.10%,2.50%,0.20%,0.10%,第71届奥斯卡金像奖                        最佳影片(提名)            艾尔达·法瑞 / 吉安路易吉·布拉斯基,第51届戛纳电影节                        主竞赛单元 金棕榈奖(提名)            罗伯托·贝尼尼,第23届日本电影学院奖                        最佳外语片(提名)
No.6,泰坦尼克号 Titanic,-1997,编剧: 詹姆斯·卡梅隆,导演: 詹姆斯·卡梅隆,主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔 / 大卫·沃纳 / 维克多·加博 / 乔纳森·海德 / 苏茜·爱米斯 / 刘易斯·阿伯内西 / 尼古拉斯·卡斯柯恩 / 阿那托利·萨加洛维奇 / 丹尼·努齐 / 杰森·贝瑞 / 伊万·斯图尔特 / 艾恩·格拉法德 / 乔纳森·菲利普斯 / 马克·林赛·查普曼 / 理查德·格拉翰 / 保罗·布赖特威尔 / 艾瑞克·布里登 / 夏洛特·查顿 / 博纳德·福克斯 / 迈克尔·英塞恩 / 法妮·布雷特 / 马丁·贾维斯 / 罗莎琳·艾尔斯 / 罗切尔·罗斯 / 乔纳森·伊万斯-琼斯 / 西蒙·克雷恩 / 爱德华德·弗莱彻 / 斯科特·安德森 / 马丁·伊斯特 / 克雷格·凯利 / 格雷戈里·库克 / 利亚姆·图伊 / 詹姆斯·兰开斯特 / 艾尔莎·瑞雯 / 卢·帕尔特 / 泰瑞·佛瑞斯塔 / 凯文·德·拉·诺伊更多...,导演: 詹姆斯·卡梅隆        编剧: 詹姆斯·卡梅隆        主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔 / 大卫·沃纳 / 维克多·加博 / 乔纳森·海德 / 苏茜·爱米斯 / 刘易斯·阿伯内西 / 尼古拉斯·卡斯柯恩 / 阿那托利·萨加洛维奇 / 丹尼·努齐 / 杰森·贝瑞 / 伊万·斯图尔特 / 艾恩·格拉法德 / 乔纳森·菲利普斯 / 马克·林赛·查普曼 / 理查德·格拉翰 / 保罗·布赖特威尔 / 艾瑞克·布里登 / 夏洛特·查顿 / 博纳德·福克斯 / 迈克尔·英塞恩 / 法妮·布雷特 / 马丁·贾维斯 / 罗莎琳·艾尔斯 / 罗切尔·罗斯 / 乔纳森·伊万斯-琼斯 / 西蒙·克雷恩 / 爱德华德·弗莱彻 / 斯科特·安德森 / 马丁·伊斯特 / 克雷格·凯利 / 格雷戈里·库克 / 利亚姆·图伊 / 詹姆斯·兰开斯特 / 艾尔莎·瑞雯 / 卢·帕尔特 / 泰瑞·佛瑞斯塔 / 凯文·德·拉·诺伊更多...        类型: 剧情 / 爱情 / 灾难                制片国家/地区: 美国        语言: 英语 / 意大利语 / 德语 / 俄语        上映日期: 1998-04-03(中国大陆) / 1997-11-01(东京电影节) / 1997-12-19(美国)        片长: 194分钟        又名: 铁达尼号(港/台)        IMDb链接: tt0120338,类型: 剧情 / 爱情 / 灾难 ,地区: 美国 ,片长: 194分钟 ,942051,71.10%,23.90%,4.60%,0.30%,0.10%,第70届奥斯卡金像奖                        最佳影片            詹姆斯·卡梅隆 / 乔恩·兰道,第21届日本电影学院奖                        最佳外语片(提名),第26届动画安妮奖                        最佳动画技术成果
No.7,千与千寻 千と千尋の神隠し,-2001,编剧: 宫崎骏,导演: 宫崎骏,主演: 柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦更多...,导演: 宫崎骏        编剧: 宫崎骏        主演: 柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦更多...        类型: 剧情 / 动画 / 奇幻                制片国家/地区: 日本        语言: 日语        上映日期: 2001-07-20(日本)        片长: 125分钟        又名: 神隐少女(台) / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi        IMDb链接: tt0245429,类型: 剧情 / 动画 / 奇幻 ,地区: 日本 ,片长: 125分钟 ,935114,69.60%,25.70%,4.40%,0.20%,0.10%,第75届奥斯卡金像奖                        最佳动画长片            宫崎骏,第52届柏林国际电影节                        金熊奖 最佳影片            宫崎骏,第21届香港电影金像奖                        最佳亚洲电影
No.8,辛德勒的名单 Schindler's List,-1993,编剧: 托马斯·肯尼利 / 斯蒂文·泽里安,导演: 史蒂文·斯皮尔伯格,主演: 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 卡罗琳·古多尔 / 乔纳森·萨加尔 / 艾伯丝·戴维兹 / 马尔戈萨·格贝尔 / 马克·伊瓦涅 / 碧翠斯·马科拉 / 安德烈·瑟韦林 / 弗里德里希·冯·图恩 / 克齐斯茨托夫·拉夫特 / 诺伯特·魏塞尔更多...,导演: 史蒂文·斯皮尔伯格        编剧: 托马斯·肯尼利 / 斯蒂文·泽里安        主演: 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 卡罗琳·古多尔 / 乔纳森·萨加尔 / 艾伯丝·戴维兹 / 马尔戈萨·格贝尔 / 马克·伊瓦涅 / 碧翠斯·马科拉 / 安德烈·瑟韦林 / 弗里德里希·冯·图恩 / 克齐斯茨托夫·拉夫特 / 诺伯特·魏塞尔更多...        类型: 剧情 / 历史 / 战争                制片国家/地区: 美国        语言: 英语 / 希伯来语 / 德语 / 波兰语        上映日期: 1993-11-30(华盛顿首映) / 1994-02-04(美国)        片长: 195分钟        又名: 舒特拉的名单(港) / 辛德勒名单        IMDb链接: tt0108052,类型: 剧情 / 历史 / 战争 ,地区: 美国 ,片长: 195分钟 ,527364,76.50%,20.50%,2.80%,0.10%,0.10%,第66届奥斯卡金像奖                        最佳影片            杰拉尔德·R·莫伦 / 布兰科·拉斯蒂格 / 史蒂文·斯皮尔伯格,第47届英国电影学院奖                        电影奖 最佳影片            史蒂文·斯皮尔伯格 / 杰拉尔德·R·莫伦 / 布兰科·拉斯蒂格,第18届日本电影学院奖                        最佳外语片
No.9,盗梦空间 Inception,-2010,编剧: 克里斯托弗·诺兰,导演: 克里斯托弗·诺兰,主演: 莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾伦·佩吉 / 汤姆·哈迪 / 渡边谦 / 迪利普·劳 / 基里安·墨菲 / 汤姆·贝伦杰 / 玛丽昂·歌迪亚 / 皮特·波斯尔思韦特 / 迈克尔·凯恩 / 卢卡斯·哈斯 / 李太力 / 克莱尔·吉尔蕾 / 马格努斯·诺兰 / 泰勒·吉蕾 / 乔纳森·吉尔 / 水源士郎 / 冈本玉二 / 厄尔·卡梅伦 / 瑞恩·海沃德 / 米兰达·诺兰 / 拉什·费加 / 蒂姆·科勒赫 / 妲露拉·莱莉更多...,导演: 克里斯托弗·诺兰        编剧: 克里斯托弗·诺兰        主演: 莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾伦·佩吉 / 汤姆·哈迪 / 渡边谦 / 迪利普·劳 / 基里安·墨菲 / 汤姆·贝伦杰 / 玛丽昂·歌迪亚 / 皮特·波斯尔思韦特 / 迈克尔·凯恩 / 卢卡斯·哈斯 / 李太力 / 克莱尔·吉尔蕾 / 马格努斯·诺兰 / 泰勒·吉蕾 / 乔纳森·吉尔 / 水源士郎 / 冈本玉二 / 厄尔·卡梅伦 / 瑞恩·海沃德 / 米兰达·诺兰 / 拉什·费加 / 蒂姆·科勒赫 / 妲露拉·莱莉更多...        类型: 剧情 / 科幻 / 悬疑 / 冒险                制片国家/地区: 美国 / 英国        语言: 英语 / 日语 / 法语        上映日期: 2010-09-01(中国大陆) / 2010-07-16(美国)        片长: 148分钟        又名: 潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方        IMDb链接: tt1375666        官方小站:        盗梦空间-Inception,类型: 剧情 / 科幻 / 悬疑 / 冒险 ,地区: 美国 / 英国 ,片长: 148分钟 ,1018398,69.40%,25.90%,4.30%,0.30%,0.10%,第83届奥斯卡金像奖                        最佳影片(提名)            艾玛·托马斯 / 克里斯托弗·诺兰,第68届金球奖                        电影类 最佳剧情片(提名),第34届日本电影学院奖                        最佳外语片(提名)
No.10,机器人总动员 WALL·E,-2008,编剧: 安德鲁·斯坦顿 / 吉姆·里尔顿 / 彼特·道格特,导演: 安德鲁·斯坦顿,主演: 本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 佛莱德·威拉特 / 西格妮·韦弗 / MacInTalk / 约翰·拉岑贝格 / 凯茜·纳基麦 / 泰迪·牛顿 / 鲍伯·伯根 / 洛丽·理查德森 / 吉姆·瓦德 / 彼特·道格特 / 安德鲁·斯坦顿 / 杰夫·皮金 / 约翰·齐甘 / 米凯·麦高万 / 雪莉·琳恩 / 克莱特·惠特克 / 唐纳德·富利洛夫 / 罗里·艾伦 / 杰斯·哈梅尔 / 拉瑞恩·纽曼 / 扬·拉布森 / 保罗·伊丁更多...,导演: 安德鲁·斯坦顿        编剧: 安德鲁·斯坦顿 / 吉姆·里尔顿 / 彼特·道格特        主演: 本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 佛莱德·威拉特 / 西格妮·韦弗 / MacInTalk / 约翰·拉岑贝格 / 凯茜·纳基麦 / 泰迪·牛顿 / 鲍伯·伯根 / 洛丽·理查德森 / 吉姆·瓦德 / 彼特·道格特 / 安德鲁·斯坦顿 / 杰夫·皮金 / 约翰·齐甘 / 米凯·麦高万 / 雪莉·琳恩 / 克莱特·惠特克 / 唐纳德·富利洛夫 / 罗里·艾伦 / 杰斯·哈梅尔 / 拉瑞恩·纽曼 / 扬·拉布森 / 保罗·伊丁更多...        类型: 爱情 / 科幻 / 动画 / 冒险        官方网站: www.pixar.com/feature-films/walle        制片国家/地区: 美国        语言: 英语        上映日期: 2008-06-27(美国)        片长: 98分钟        又名: 瓦力(台) / 太空奇兵·威E(港) / 星际总动员 / 地球废品分装员 / 机器人瓦力 / walle        IMDb链接: tt0910970,类型: 爱情 / 科幻 / 动画 / 冒险 ,地区: 美国 ,片长: 98分钟 ,677315,70.80%,24.40%,4.40%,0.20%,0.10%,第81届奥斯卡金像奖                        最佳原创剧本(提名)            彼特·道格特 / 安德鲁·斯坦顿 / 吉姆·里尔顿,第66届金球奖                        电影类 最佳动画长片,第36届动画安妮奖                        最佳动画长片(提名)
No.11,忠犬八公的故事 Hachi: A Dog's Tale,-2009,编剧: 斯蒂芬·P·林赛 / 新藤兼人,导演: 拉斯·霍尔斯道姆,主演: 理查·基尔 / 萨拉·罗默尔 / 琼·艾伦 / 罗比·萨布莱特 / 艾瑞克·阿瓦利 / 田川洋行 / 杰森·亚历山大 / 罗伯特·卡普荣更多...,导演: 拉斯·霍尔斯道姆        编剧: 斯蒂芬·P·林赛 / 新藤兼人        主演: 理查·基尔 / 萨拉·罗默尔 / 琼·艾伦 / 罗比·萨布莱特 / 艾瑞克·阿瓦利 / 田川洋行 / 杰森·亚历山大 / 罗伯特·卡普荣更多...        类型: 剧情                制片国家/地区: 美国 / 英国        语言: 英语 / 日语        上映日期: 2009-06-13(西雅图电影节) / 2010-03-12(英国)        片长: 93分钟        又名: 忠犬小八(台) / 秋田犬八千(港) / 忠犬传奇        IMDb链接: tt1028532,类型: 剧情 ,地区: 美国 / 英国 ,片长: 93分钟 ,664642,70.60%,24.10%,4.90%,0.30%,0.10%,,,
No.12,三傻大闹宝莱坞 3 Idiots,-2009,编剧: 维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿西奇·乔希,导演: 拉吉库马尔·希拉尼,主演: 阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安更多...,导演: 拉吉库马尔·希拉尼        编剧: 维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿西奇·乔希        主演: 阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安更多...        类型: 剧情 / 喜剧 / 爱情 / 歌舞                制片国家/地区: 印度        语言: 印地语 / 乌尔都语 / 英语        上映日期: 2011-12-08(中国大陆) / 2009-12-25(印度)        片长: 171分钟(印度)        又名: 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots        IMDb链接: tt1187043,类型: 剧情 / 喜剧 / 爱情 / 歌舞 ,地区: 印度 ,片长: 171分钟(印度) ,913252,67.20%,25.90%,5.90%,0.60%,0.30%,第37届日本电影学院奖                        最佳外语片(提名),,
No.13,海上钢琴师 La leggenda del pianista sull'oceano,-1998,编剧: 亚利桑德罗·巴里克 / 朱塞佩·托纳多雷,导演: 朱塞佩·托纳多雷,主演: 蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 梅兰尼·蒂埃里 / 阿尔贝托·巴斯克斯,导演: 朱塞佩·托纳多雷        编剧: 亚利桑德罗·巴里克 / 朱塞佩·托纳多雷        主演: 蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 梅兰尼·蒂埃里 / 阿尔贝托·巴斯克斯        类型: 剧情 / 音乐                制片国家/地区: 意大利        语言: 英语 / 法语        上映日期: 1998-10-28(意大利)        片长: 165分钟 / 120分钟(法国版) / 169分钟(加长版)        又名: 声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900        IMDb链接: tt0120731,类型: 剧情 / 音乐 ,地区: 意大利 ,片长: 165分钟 / 120分钟(法国版) / 169分钟(加长版) ,759773,67.20%,26.50%,5.50%,0.50%,0.20%,,,
No.14,放牛班的春天 Les choristes,-2004,编剧: 乔治·沙普罗 / 勒·惠勒,导演: 克里斯托夫·巴拉蒂,主演: 热拉尔·朱尼奥 / 让-巴蒂斯特·莫尼耶 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 玛丽·布奈尔 / 马科森斯·珀林 / 让-保罗·博奈雷 / 格雷戈里·加迪诺尔 / 托马斯·布伦门塔尔 / Cyril Bernicot / Simon Fargeot / Théodule Carré-Cassaigne / 菲利普·杜·詹纳兰德 / 卡罗尔·韦斯 / Erick Desmarestz / 雅克·贝汉更多...,导演: 克里斯托夫·巴拉蒂        编剧: 乔治·沙普罗 / 勒·惠勒        主演: 热拉尔·朱尼奥 / 让-巴蒂斯特·莫尼耶 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 玛丽·布奈尔 / 马科森斯·珀林 / 让-保罗·博奈雷 / 格雷戈里·加迪诺尔 / 托马斯·布伦门塔尔 / Cyril Bernicot / Simon Fargeot / Théodule Carré-Cassaigne / 菲利普·杜·詹纳兰德 / 卡罗尔·韦斯 / Erick Desmarestz / 雅克·贝汉更多...        类型: 剧情 / 音乐                制片国家/地区: 法国 / 瑞士 / 德国        语言: 法语        上映日期: 2004-10-16(中国大陆) / 2004-03-17(法国)        片长: 97 分钟        又名: 歌声伴我心(港) / 唱诗班男孩 / The Chorus        IMDb链接: tt0372824,类型: 剧情 / 音乐 ,地区: 法国 / 瑞士 / 德国 ,片长: 97 分钟 ,629708,67.40%,28.10%,4.30%,0.20%,0.10%,第77届奥斯卡金像奖                        最佳外语片(提名),第62届金球奖                        电影类 最佳外语片(提名),第58届英国电影学院奖                        电影奖 最佳改编剧本(提名)            Philippe Lopes-Curval / 克里斯托夫·巴拉蒂
No.15,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,-1995,编剧: 刘镇伟 / 吴承恩,导演: 刘镇伟,主演: 周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁更多...,导演: 刘镇伟        编剧: 刘镇伟 / 吴承恩        主演: 周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁更多...        类型: 喜剧 / 爱情 / 奇幻 / 冒险                制片国家/地区: 香港 / 中国大陆        语言: 粤语 / 汉语普通话        上映日期: 2014-10-24(中国大陆) / 2017-04-13(中国大陆重映) / 1995-02-04(香港)        片长: 95分钟 / 110分钟(重映版)        又名: 西游记完结篇仙履奇缘 / 齐天大圣西游记 / 大话东游之二 / A Chinese Odyssey Part Two - Cinderella        IMDb链接: tt0114996,类型: 喜剧 / 爱情 / 奇幻 / 冒险 ,地区: 香港 / 中国大陆 ,片长: 95分钟 / 110分钟(重映版) ,700120,67.20%,25.90%,6.20%,0.50%,0.30%,第15届香港电影金像奖                        最佳编剧(提名)            刘镇伟,第15届香港电影金像奖                        最佳男主角(提名)            周星驰,
No.16,楚门的世界 The Truman Show,-1998,编剧: 安德鲁·尼科尔,导演: 彼得·威尔,主演: 金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,导演: 彼得·威尔        编剧: 安德鲁·尼科尔        主演: 金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩        类型: 剧情 / 科幻                制片国家/地区: 美国        语言: 英语        上映日期: 1998-06-05(美国)        片长: 103分钟        又名: 真人Show(港) / 真人戏 / 真人世界 / 楚门秀 / 真人秀        IMDb链接: tt0120382,类型: 剧情 / 科幻 ,地区: 美国 ,片长: 103分钟 ,683477,65.10%,29.60%,4.90%,0.30%,0.10%,第71届奥斯卡金像奖                        最佳导演(提名)            彼得·威尔,第71届奥斯卡金像奖                        最佳男配角(提名)            艾德·哈里斯,第71届奥斯卡金像奖                        最佳原创剧本(提名)            安德鲁·尼科尔
No.17,龙猫 となりのトトロ,-1988,编剧: 宫崎骏,导演: 宫崎骏,主演: 日高法子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子 / 广濑正志 / 鹫尾真知子 / 铃木玲子 / 千叶繁 / 龙田直树 / 鳕子 / 西村朋纮 / 石田光子 / 神代知衣 / 中村大树 / 水谷优子 / 平松晶子 / 大谷育江更多...,导演: 宫崎骏        编剧: 宫崎骏        主演: 日高法子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子 / 广濑正志 / 鹫尾真知子 / 铃木玲子 / 千叶繁 / 龙田直树 / 鳕子 / 西村朋纮 / 石田光子 / 神代知衣 / 中村大树 / 水谷优子 / 平松晶子 / 大谷育江更多...        类型: 动画 / 奇幻 / 冒险                制片国家/地区: 日本        语言: 日语        上映日期: 2018-12-14(中国大陆) / 1988-04-16(日本)        片长: 86分钟        又名: 邻居托托罗 / 邻家的豆豆龙 / 隔壁的特特罗 / Tonari no Totoro / My Neighbor Totoro        IMDb链接: tt0096283,类型: 动画 / 奇幻 / 冒险 ,地区: 日本 ,片长: 86分钟 ,617319,64.30%,29.40%,6.00%,0.30%,0.10%,第13届报知映画赏                        最佳导演            宫崎骏,,
